checkpoint_id,environment,selected,episode,seed,reward,length
cartpole_mse_lr0.0005_final,CartPole-v1,False,7,1006,200.0,200
cartpole_mse_lr0.0005_final,CartPole-v1,False,8,1007,208.0,208
cartpole_mse_lr0.0005_final,CartPole-v1,False,9,1008,193.0,193
cartpole_mse_lr0.0005_final,CartPole-v1,False,10,1009,174.0,174
cartpole_mse_lr0.0005_final,CartPole-v1,False,11,1010,247.0,247
cartpole_mse_lr0.0005_final,CartPole-v1,False,12,1011,193.0,193
cartpole_mse_lr0.0005_final,CartPole-v1,False,13,1012,202.0,202
cartpole_mse_lr0.0005_final,CartPole-v1,False,14,1013,247.0,247
cartpole_mse_lr0.0005_final,CartPole-v1,False,15,1014,310.0,310
cartpole_mse_lr0.0005_final,CartPole-v1,False,16,1015,217.0,217
cartpole_mse_lr0.0005_final,CartPole-v1,False,17,1016,195.0,195
cartpole_mse_lr0.0005_final,CartPole-v1,False,18,1017,373.0,373
cartpole_mse_lr0.0005_final,CartPole-v1,False,19,1018,304.0,304
cartpole_mse_lr0.0005_final,CartPole-v1,False,20,1019,208.0,208
cartpole_mse_lr0.0005_final,CartPole-v1,False,21,1020,195.0,195
cartpole_mse_lr0.0005_final,CartPole-v1,False,22,1021,244.0,244
cartpole_mse_lr0.0005_final,CartPole-v1,False,23,1022,211.0,211
cartpole_mse_lr0.0005_final,CartPole-v1,False,24,1023,325.0,325
cartpole_mse_lr0.0005_final,CartPole-v1,False,25,1024,200.0,200
cartpole_mse_lr0.0005_final,CartPole-v1,False,26,1025,213.0,213
cartpole_mse_lr0.0005_final,CartPole-v1,False,27,1026,186.0,186
cartpole_mse_lr0.0005_final,CartPole-v1,False,28,1027,195.0,195
cartpole_mse_lr0.0005_final,CartPole-v1,False,29,1028,261.0,261
cartpole_mse_lr0.0005_final,CartPole-v1,False,30,1029,208.0,208
cartpole_mse_lr0.0005_final,CartPole-v1,False,31,1030,221.0,221
cartpole_mse_lr0.0005_final,CartPole-v1,False,32,1031,352.0,352
cartpole_mse_lr0.0005_final,CartPole-v1,False,33,1032,315.0,315
cartpole_mse_lr0.0005_final,CartPole-v1,False,34,1033,277.0,277
cartpole_mse_lr0.0005_final,CartPole-v1,False,35,1034,230.0,230
cartpole_mse_lr0.0005_final,CartPole-v1,False,36,1035,252.0,252
cartpole_mse_lr0.0005_final,CartPole-v1,False,37,1036,204.0,204
